timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1753275600000,0.1522700,0.1575800,0.1415600,0.1438300,787139557,1753277399999,117812088.3723700,425842,373504554,55977426.8790200,0
1753277400000,0.1438200,0.1444900,0.1312000,0.1321000,888792925,1753279199999,121467165.6612100,457063,420231716,57446681.5199400,0
1753279200000,0.1320900,0.1399000,0.1286900,0.1388200,552102584,1753280999999,75171939.2490600,302966,278560651,37977128.2069100,0
1753281000000,0.1388200,0.1457300,0.1330000,0.1430700,454589167,1753282799999,63837452.9438700,270739,236039414,33183432.4466100,0
1753282800000,0.1430900,0.1482500,0.1362300,0.1438900,520680839,1753284599999,73684833.6725700,302577,265725580,37641241.5480400,0
1753284600000,0.1438800,0.1523900,0.1410000,0.1454000,502528482,1753286399999,73977982.5276400,304622,257214188,37893540.2334500,0
1753286400000,0.1453900,0.1704600,0.1433300,0.1590600,1188374479,1753288199999,187966964.5680700,628717,605683843,95910445.1428400,0
1753288200000,0.1590000,0.1695800,0.1522900,0.1630600,825016734,1753289999999,134407400.1887600,453366,412474457,67262483.9535300,0
1753290000000,0.1630400,0.1686300,0.1580000,0.1630600,590206158,1753291799999,96416234.4356600,311557,287464042,46985289.1421400,0
1753291800000,0.1630600,0.1646900,0.1531500,0.1609800,525431568,1753293599999,83635364.0520200,288545,252797631,40261433.1875300,0
1753293600000,0.1609800,0.1634200,0.1540200,0.1580600,382624880,1753295399999,60577938.9067600,226825,190016378,30085976.4844900,0
1753295400000,0.1580500,0.1700000,0.1577500,0.1638700,461918496,1753297199999,75966580.0838200,276307,228424976,37595777.9894500,0
1753297200000,0.1638800,0.1665300,0.1565800,0.1585100,288611981,1753298999999,46658795.9573800,186098,142177719,23001882.7429300,0
1753299000000,0.1585200,0.1620000,0.1550000,0.1609200,242818374,1753300799999,38516581.0622000,172323,129098261,20495276.9302500,0
1753300800000,0.1609800,0.1613400,0.1516000,0.1551000,301297685,1753302599999,47185592.2545100,194541,139297394,21829032.2447200,0
1753302600000,0.1550800,0.1668600,0.1540700,0.1658900,405926266,1753304399999,65420168.7392300,265546,208288952,33583837.3660300,0
1753304400000,0.1658400,0.1780000,0.1629900,0.1727200,538678812,1753306199999,91514898.3247300,390811,280277138,47655475.8723900,0
1753306200000,0.1726600,0.1850000,0.1672100,0.1799600,473770135,1753307999999,83991013.0658500,391073,243408550,43202336.8582500,0
1753308000000,0.1799200,0.1810800,0.1671700,0.1741800,425705622,1753309799999,74168124.1276100,381844,215400469,37548760.6163400,0
1753309800000,0.1742000,0.1785800,0.1691100,0.1730300,275871198,1753311599999,47937093.6483700,256141,135587461,23564267.5393900,0
1753311600000,0.1730400,0.1756800,0.1660000,0.1725400,255796926,1753313399999,43629113.9739800,216736,121602632,20757850.4270200,0
1753313400000,0.1725500,0.1784900,0.1701200,0.1752700,200317423,1753315199999,34908398.4446000,189120,101207911,17647129.1593100,0
1753315200000,0.1752400,0.1754100,0.1575000,0.1672800,547111860,1753316999999,89840428.1386900,325564,253428509,41636498.9462400,0
1753317000000,0.1672300,0.1733300,0.1652500,0.1687200,253075272,1753318799999,43003348.9786400,169467,131067774,22283680.3400500,0
1753318800000,0.1687400,0.1702700,0.1608500,0.1643900,261236824,1753320599999,42910163.3426200,223135,129420554,21266936.1750900,0
